2018-11-06 16:52:38.761| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  Connection id - 0
2018-11-06 16:52:38.761| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  End Time - 2018-11-06 16:52:38
2018-11-06 16:52:38.761| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  SQL - 'fff' is not a valid literal of type Int fff is not a valid integer
2018-11-06 16:52:38.761| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  Failed
2018-11-06 16:52:54.103| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  Connection id - 0
2018-11-06 16:52:54.103| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  Start Time - 2018-11-06 16:52:54
2018-11-06 16:52:54.103| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  Statement delete from amit where y = 111111;
2018-11-06 16:52:54.178| on thread[140447603222272 c0s11]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11)| sqream|  Connection id - 0 - Executing - delete from amit where y = 111111;
2018-11-06 16:52:54.217| on thread[140447603222272 c0s11]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  Connection id - 0
2018-11-06 16:52:54.217| on thread[140447603222272 c0s11]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  End Time - 2018-11-06 16:52:54
2018-11-06 16:52:54.217| on thread[140447603222272 c0s11]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  SQL - delete from amit where y = 111111;
2018-11-06 16:52:54.217| on thread[140447603222272 c0s11]| IP[192.168.0.244:5000]| master| 192.168.0.244| Gilc| (stmt : 11) | sqream|  Success
2018-11-06 16:53:04.534| on thread[140447603222272 c10]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  Connection id - 10
2018-11-06 16:53:04.535| on thread[140447603222272 c10]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  Start Time - 2018-11-06 16:53:04
2018-11-06 16:53:04.535| on thread[140447603222272 c10]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  Statement copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:04.551| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12)| sqream|  Connection id - 10 - Executing - copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:04.551| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12)| sqream|  Connection id - 10 - 0MB - copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:04.600| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  Connection id - 10
2018-11-06 16:53:04.600| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  End Time - 2018-11-06 16:53:04
2018-11-06 16:53:04.600| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  SQL - copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:04.600| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  ResultSet Num Of Rows - 12
2018-11-06 16:53:04.600| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  Processed Num Of Rows - 38
2018-11-06 16:53:04.600| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 12) | sqream|  Success
2018-11-06 16:53:05.527| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  Connection id - 10
2018-11-06 16:53:05.527| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  Start Time - 2018-11-06 16:53:05
2018-11-06 16:53:05.527| on thread[140447603222272 c10s12]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  Statement copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:05.543| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13)| sqream|  Connection id - 10 - Executing - copy amit from '/home/amitn/csv.csv';
